Country,District
Moçambique,Machanga
Moçambique,Maringué
Moçambique,Marromeu
Moçambique,Muanza
Moçambique,Nhamatanda
Moçambique,Bárue
Moçambique,Chimoio
Moçambique,Gondola
Moçambique,Guro
Moçambique,Macate
Moçambique,Machaze
Moçambique,Macossa
Moçambique,Manica
Moçambique,Mossurize
Moçambique,Sussundenga
Moçambique,Tambara
Moçambique,Bilene Macia
Moçambique,Chibuto
Moçambique,Chicualacuala
Moçambique,Chigubo
Moçambique,chókwè
Moçambique,Chongoene
Moçambique,Guija
Moçambique,Limpopo
Moçambique,Mabalane
Moçambique,Manjacaze
Moçambique,Mapai
Moçambique,Massangena
Moçambique,Massingir
Moçambique,Xai-Xai
Moçambique,Funhalouro
Moçambique,Govuro
Moçambique,Homoíne
Moçambique,Inhambane
Moçambique,Inharrime
Moçambique,Inhassoro
Moçambique,Jangamo
Moçambique,Mabote
Moçambique,Massinga
Moçambique,Maxixe
Moçambique,Morrumbene
Moçambique,Panda
Moçambique,Vilanculos
Moçambique,Zavala
Moçambique,Boane
Moçambique,Magude
Moçambique,Manhiça
Moçambique,Maputo-Cidade
Moçambique,Marracuene
Moçambique,Matola
Moçambique,Matutuíne
Moçambique,Moamba
Moçambique,Namaacha
